"","s.French_flat","s.Hazel_Dell","s.Horse_Rock","s.Lower_Table","s.Roxy_Ann","s.Upper_Table","s.Upper_Weir","s.Whetstone","s.Whidbey","index","stat","p.value"
"OTU113:14grass",0,1,0,0,0,0,0,0,1,24,0.358009824338204,0.007
"OTU225:6grass",1,0,0,0,0,0,0,1,0,16,0.370804906903162,0.0083
"OTU135:26grass",0,0,1,0,0,0,1,0,0,28,0.183688148518784,0.6899
"OTU82:15grass",0,1,0,0,0,0,0,0,1,24,0.339992139373776,0.016
"OTU672:6grass",1,0,0,0,0,0,1,0,0,15,0.217714850885757,0.7232
"OTU617:6grass",1,0,0,0,0,0,0,0,0,1,0.192897128868165,1
"OTU232:6grass",0,0,0,0,0,0,0,0,1,9,0.309474969948057,0.0484
"OTU449:26grass",0,0,0,0,1,0,0,0,0,5,0.241608565270341,0.1917
"OTU471:6grass",0,0,1,0,0,0,0,0,0,3,0.242936555012783,0.2042
"OTU507:6grass",0,0,0,0,1,0,0,0,0,5,0.349013620990467,0.0092
"OTU311:6grass",0,0,0,1,0,1,0,0,0,32,0.218218324980177,0.3743
"OTU1368:6grass",1,0,0,0,0,0,0,0,0,1,0.192897128868165,1
"OTU292:87grass",0,0,0,0,0,0,0,0,1,9,0.277005647278047,0.0574
"OTU32:10grass",0,1,0,0,0,0,0,0,1,24,0.384671378179705,0.0035
"OTU301:6grass",1,0,0,0,1,0,0,1,0,66,0.260392464754754,0.1376
"OTU50:14grass",0,0,0,0,1,0,0,0,0,5,0.200161300087988,0.5936
"OTU1376:6grass",1,0,0,0,0,0,1,1,0,71,0.192303617217551,0.6754
"OTU531:6grass",1,0,0,1,0,0,0,0,0,12,0.186601210177593,0.7452
"OTU89:6grass",1,0,1,0,0,0,0,0,0,11,0.366519522103263,0.0084
"OTU457:6grass",0,0,1,0,0,0,0,0,0,3,0.186269288266919,0.6438
"OTU245:6grass",0,1,0,0,0,0,0,0,1,24,0.253901514301082,0.1591
"OTU2475:6grass",1,0,0,0,0,0,0,0,0,1,0.203352533889138,0.4872
"OTU360:103grass",0,0,0,1,0,0,0,1,0,34,0.401337963263574,0.0019
